iter,acc,f1-score,auc,recall,cm,params
91,0.8185387131952018,0.8282765737874098,0.8175560220647548,0.8451979780960405,"[[3493  929]
 [ 735 4013]]","{'max_depth': 48, 'learning_rate': 0.0353, 'n_estimators': 500}"
92,0.8175572519083969,0.8276146316331788,0.8165150924553154,0.8458298230834035,"[[3481  941]
 [ 732 4016]]","{'max_depth': 40, 'learning_rate': 0.0347, 'n_estimators': 600}"
93,0.8187568157033805,0.8281282316442605,0.8178520356782373,0.8433024431339511,"[[3504  918]
 [ 744 4004]]","{'max_depth': 31, 'learning_rate': 0.048, 'n_estimators': 500}"
94,0.8154852780806979,0.825242718446602,0.8145297770167315,0.8414069081718618,"[[3483  939]
 [ 753 3995]]","{'max_depth': 14, 'learning_rate': 0.0141, 'n_estimators': 1150}"
95,0.813413304252999,0.8225287833212322,0.8126143331744433,0.8350884582982309,"[[3494  928]
 [ 783 3965]]","{'max_depth': 29, 'learning_rate': 0.0558, 'n_estimators': 950}"
96,0.8177753544165758,0.8274295156459774,0.8168188695794979,0.8437236731255265,"[[3493  929]
 [ 742 4006]]","{'max_depth': 19, 'learning_rate': 0.0278, 'n_estimators': 700}"
97,0.8148309705561614,0.8238954573739887,0.8140299117112606,0.8365627632687447,"[[3500  922]
 [ 776 3972]]","{'max_depth': 31, 'learning_rate': 0.0619, 'n_estimators': 800}"
98,0.8186477644492912,0.8283620600681185,0.8176690930733481,0.8451979780960405,"[[3494  928]
 [ 735 4013]]","{'max_depth': 24, 'learning_rate': 0.0444, 'n_estimators': 400}"
99,0.8141766630316248,0.8229794307084979,0.8134368842773954,0.8342459983150801,"[[3505  917]
 [ 787 3961]]","{'max_depth': 10, 'learning_rate': 0.0479, 'n_estimators': 1050}"
100,0.8159214830970556,0.8258716731999174,0.8149199529655087,0.8430918281381634,"[[3479  943]
 [ 745 4003]]","{'max_depth': 21, 'learning_rate': 0.0441, 'n_estimators': 600}"
